id,age,level,height,weight,waist,hip,income,bmi
254,44,2,142,51,74,88,1,25
255,63,2,166,53,76,85,1,19
256,55,1,148,56,89,97,1,26
257,63,1,151,41,69,85,1,18
258,53,1,162,62,86,94,3,24
259,60,1,149,49,82,92,1,22
260,68,1,154,63,96,99,1,27
261,65,1,149,49,79,91,1,22
262,55,1,147,53,82,92,1,25
263,52,1,156,71,94,98,1,29
264,68,2,158,53,74,89,1,21
265,67,1,153,55,90,95,1,23
266,65,1,159,70,91,101,3,28
267,60,1,150,53,81,90,3,24
268,54,3,156,68,94,106,5,28
269,68,1,148,62,100,99,1,28
270,59,3,164,64,87,97,2,24
271,58,2,160,63,90,92,1,25
272,48,1,158,61,92,91,2,25
273,63,1,157,58,86,94,1,24
274,45,1,166,61,82,86,2,22
275,43,2,152,48,71,86,1,21
276,49,2,168,69,84,98,3,25
277,44,1,163,69,86,97,3,26
278,60,1,157,57,86,92,1,23
279,62,2,170,63,85,95,1,22
280,55,1,144,58,93,95,1,28
281,41,2,154,64,90,95,4,27
282,69,1,150,60,97,90,1,27
283,66,2,163,45,76,79,2,17
284,66,2,144,59,94,100,2,28
285,66,1,160,66,84,96,1,26
286,65,1,144,44,80,86,1,21
287,45,4,166,67,83,93,3,24
288,43,2,151,53,82,92,3,23
289,47,2,166,55,73,86,5,20
290,41,3,153,47,71,85,5,20
291,66,1,154,54,88,95,1,23
292,64,1,139,48,86,89,1,25
293,67,1,150,58,89,91,5,26
294,53,3,159,61,91,96,2,24
295,51,2,161,60,81,90,3,23
296,67,1,163,46,71,83,1,17
297,63,1,166,62,84,93,1,23
298,58,1,161,63,94,100,2,24
299,49,1,152,61,86,93,2,27
300,64,1,161,69,103,93,1,27
301,45,2,177,75,89,92,2,24
302,65,1,169,58,70,89,1,20
303,62,1,154,55,81,92,1,23
304,54,1,153,54,84,92,2,23
305,52,1,149,49,78,92,2,22
306,51,1,163,77,104,106,2,29
307,64,1,152,64,89,102,5,28
308,66,1,146,49,84,94,1,23
309,63,1,151,64,101,102,1,28
310,63,1,157,56,85,84,1,23
311,58,1,145,47,75,86,1,22
312,63,3,168,75,90,97,1,27
313,54,2,155,56,82,87,2,23
314,48,2,153,44,66,84,2,19
315,56,1,151,52,84,92,2,23
316,65,1,174,73,91,99,1,24
317,64,3,168,69,84,90,4,24
318,53,2,171,65,81,95,2,22
319,49,1,145,67,96,105,2,32
320,44,3,159,60,78,95,4,24
321,67,1,163,62,85,93,2,23
322,64,2,172,65,86,99,3,22
323,62,2,161,56,77,91,2,22
324,66,2,147,56,88,90,1,26
325,68,1,154,67,92,100,5,28
326,61,1,152,49,77,91,1,21
327,60,1,170,72,84,96,2,25
328,50,2,147,50,74,86,3,23
329,68,1,167,73,99,96,1,26
330,65,1,155,67,95,99,1,28
331,40,2,168,70,84,95,2,25
332,47,2,167,75,95,94,5,27
333,41,2,157,66,81,95,2,27
334,46,1,154,61,77,95,4,26
335,41,3,156,48,68,85,4,20
336,44,2,170,78,89,99,4,27
337,59,1,158,51,85,86,2,21
338,59,1,151,54,82,92,1,24
339,58,1,152,64,90,98,3,28
340,66,3,161,58,78,87,3,22
341,61,2,155,62,92,98,2,26
342,64,1,144,43,70,84,1,21
343,58,1,150,60,88,103,1,27
344,60,2,162,51,68,87,5,19
345,63,2,165,56,77,90,3,21
346,41,3,171,66,83,95,5,23
347,62,1,148,56,89,95,1,26
348,45,4,158,61,82,94,2,25
349,58,2,151,55,79,92,1,24
350,67,1,155,61,89,99,3,25
351,40,1,161,61,80,95,1,24
352,42,1,146,68,92,105,2,32
353,68,3,158,53,81,90,2,21
354,42,3,149,56,76,96,3,25
355,50,4,160,65,89,94,4,25
356,46,2,156,63,85,100,2,26
357,63,1,157,65,94,97,1,26
358,52,2,162,72,95,95,1,27
359,48,1,161,85,103,111,1,33
360,60,3,166,72,90,98,2,26
361,53,3,161,55,78,88,4,21
362,47,1,157,70,88,99,4,31
363,42,2,159,57,86,96,2,23
364,65,1,158,46,69,86,1,19
365,68,1,160,54,78,86,1,21
366,66,1,142,35,69,75,1,17
367,60,1,148,57,90,92,1,26
368,62,2,170,60,77,90,7,21
369,57,3,158,66,89,96,4,27
370,54,1,154,54,83,92,2,23
371,42,3,164,57,77,87,3,21
372,43,2,175,69,79,93,3,23
373,43,3,144,55,77,90,3,27
374,42,2,176,65,76,90,2,21
375,62,2,164,68,83,95,3,25
376,60,2,147,58,87,93,3,27
377,44,2,147,50,80,87,3,23
378,66,1,149,64,102,100,1,29
379,54,2,162,62,84,94,5,24
380,49,4,177,70,83,94,3,23
381,45,2,154,56,78,90,1,24
382,43,1,156,62,82,94,1,26
383,60,1,153,57,90,94,1,24
384,65,1,165,64,88,95,2,24
385,54,1,170,66,89,93,1,23
386,61,1,166,85,104,106,2,31
387,58,1,155,51,75,88,2,21
388,44,2,165,64,81,90,3,23
389,62,2,167,80,94,101,2,29
390,41,3,156,50,68,88,2,20
391,54,1,152,57,90,91,3,25
392,57,4,162,57,87,89,4,22
393,49,2,166,70,89,96,5,25
394,49,2,149,48,74,85,3,22
395,45,1,158,59,80,95,1,24
396,69,2,177,81,95,100,1,26
397,68,1,149,54,90,92,1,25
398,59,1,144,56,89,101,3,27
399,58,1,172,75,92,96,1,25
400,47,1,144,57,81,91,3,28
401,66,1,150,48,81,89,3,21
402,55,1,156,51,74,92,1,21
403,43,1,152,54,77,89,1,23
404,67,1,143,45,70,90,3,22
405,69,1,147,55,86,94,1,26
406,64,1,158,52,70,89,2,21
407,56,1,170,65,93,92,3,22
408,62,1,156,59,89,94,2,24
409,65,1,160,60,84,95,1,24
410,59,2,164,70,93,95,3,26
411,58,1,148,52,84,91,3,24
